====================================================================================================
EOD OHLCV DATA SOURCE VERIFICATION REPORT
Generated: 2026-02-01 19:05:30
====================================================================================================

SUMMARY
--------------------------------------------------
  Market Summary CSV files: 915
  Closing Rates PDF files:  1
  Dates in Database:        1259

  Dates in CSV but not DB:  0
  Dates in PDF but not DB:  0
  Dates in DB but not files: 343

====================================================================================================
DETAILED DATE BREAKDOWN (showing dates with mismatches or multiple sources)
====================================================================================================
Date         CSV      PDF      DB       DB Sources                               Status
----------------------------------------------------------------------------------------------------
2021-01-22   520      0        527      market_summary:527                       CSV_MISMATCH
2021-01-25   601      0        609      market_summary:609                       CSV_MISMATCH
2021-01-26   600      0        608      market_summary:608                       CSV_MISMATCH
2021-01-27   608      0        616      market_summary:616                       CSV_MISMATCH
2021-01-28   592      0        600      market_summary:600                       CSV_MISMATCH
2021-01-29   612      0        620      market_summary:620                       CSV_MISMATCH
2021-02-01   553      0        561      market_summary:561                       CSV_MISMATCH
2021-02-02   552      0        560      market_summary:560                       CSV_MISMATCH
2021-02-03   561      0        568      market_summary:568                       CSV_MISMATCH
2021-02-04   555      0        563      market_summary:563                       CSV_MISMATCH
2021-02-08   542      0        550      market_summary:550                       CSV_MISMATCH
2021-02-09   0        418      112      closing_rates_pdf:112                    PDF_SOURCE
2021-02-10   534      0        542      market_summary:542                       CSV_MISMATCH
2021-02-11   538      0        546      market_summary:546                       CSV_MISMATCH
2021-02-12   528      0        536      market_summary:536                       CSV_MISMATCH
2021-02-15   528      0        536      market_summary:536                       CSV_MISMATCH
2021-02-16   541      0        549      market_summary:549                       CSV_MISMATCH
2021-02-17   542      0        549      market_summary:549                       CSV_MISMATCH
2021-02-18   536      0        543      market_summary:543                       CSV_MISMATCH
2021-02-19   541      0        549      market_summary:549                       CSV_MISMATCH
2021-02-22   609      0        617      market_summary:617                       CSV_MISMATCH
2021-02-23   612      0        620      market_summary:620                       CSV_MISMATCH
2021-02-24   615      0        622      market_summary:622                       CSV_MISMATCH
2021-02-25   610      0        617      market_summary:617                       CSV_MISMATCH
2021-02-26   611      0        618      market_summary:618                       CSV_MISMATCH
2021-03-01   556      0        564      market_summary:564                       CSV_MISMATCH
2021-03-02   553      0        561      market_summary:561                       CSV_MISMATCH
2021-03-03   544      0        550      market_summary:550                       CSV_MISMATCH
2021-03-04   548      0        555      market_summary:555                       CSV_MISMATCH
2021-03-05   545      0        551      market_summary:551                       CSV_MISMATCH
2021-03-08   542      0        549      market_summary:549                       CSV_MISMATCH
2021-03-09   556      0        562      market_summary:562                       CSV_MISMATCH
2021-03-10   534      0        541      market_summary:541                       CSV_MISMATCH
2021-03-11   546      0        554      market_summary:554                       CSV_MISMATCH
2021-03-12   551      0        559      market_summary:559                       CSV_MISMATCH
2021-03-15   538      0        545      market_summary:545                       CSV_MISMATCH
2021-03-16   540      0        547      market_summary:547                       CSV_MISMATCH
2021-03-17   550      0        557      market_summary:557                       CSV_MISMATCH
2021-03-18   542      0        548      market_summary:548                       CSV_MISMATCH
2021-03-19   524      0        530      market_summary:530                       CSV_MISMATCH
2021-03-22   610      0        617      market_summary:617                       CSV_MISMATCH
2021-03-24   605      0        612      market_summary:612                       CSV_MISMATCH
2021-03-25   600      0        607      market_summary:607                       CSV_MISMATCH
2021-03-26   597      0        604      market_summary:604                       CSV_MISMATCH
2021-03-29   551      0        558      market_summary:558                       CSV_MISMATCH
2021-03-30   532      0        538      market_summary:538                       CSV_MISMATCH
2021-03-31   547      0        554      market_summary:554                       CSV_MISMATCH
2021-04-01   534      0        541      market_summary:541                       CSV_MISMATCH
2021-04-02   523      0        530      market_summary:530                       CSV_MISMATCH
2021-04-05   533      0        540      market_summary:540                       CSV_MISMATCH
2021-04-06   536      0        543      market_summary:543                       CSV_MISMATCH
2021-04-07   535      0        543      market_summary:543                       CSV_MISMATCH
2021-04-08   530      0        537      market_summary:537                       CSV_MISMATCH
2021-04-09   543      0        550      market_summary:550                       CSV_MISMATCH
2021-04-12   526      0        533      market_summary:533                       CSV_MISMATCH
2021-04-13   537      0        544      market_summary:544                       CSV_MISMATCH
2021-04-14   519      0        526      market_summary:526                       CSV_MISMATCH
2021-04-15   513      0        520      market_summary:520                       CSV_MISMATCH
2021-04-16   505      0        512      market_summary:512                       CSV_MISMATCH
2021-04-19   519      0        525      market_summary:525                       CSV_MISMATCH
2021-04-20   541      0        547      market_summary:547                       CSV_MISMATCH
2021-04-21   527      0        533      market_summary:533                       CSV_MISMATCH
2021-04-22   530      0        537      market_summary:537                       CSV_MISMATCH
2021-04-23   505      0        513      market_summary:513                       CSV_MISMATCH
2021-04-26   608      0        614      market_summary:614                       CSV_MISMATCH
2021-04-27   606      0        612      market_summary:612                       CSV_MISMATCH
2021-04-28   605      0        611      market_summary:611                       CSV_MISMATCH
2021-04-29   586      0        593      market_summary:593                       CSV_MISMATCH
2021-04-30   579      0        586      market_summary:586                       CSV_MISMATCH
2021-05-03   507      0        514      market_summary:514                       CSV_MISMATCH
2021-05-04   518      0        525      market_summary:525                       CSV_MISMATCH
2021-05-05   519      0        527      market_summary:527                       CSV_MISMATCH
2021-05-06   505      0        511      market_summary:511                       CSV_MISMATCH
2021-05-17   551      0        559      market_summary:559                       CSV_MISMATCH
2021-05-18   551      0        558      market_summary:558                       CSV_MISMATCH
2021-05-19   547      0        555      market_summary:555                       CSV_MISMATCH
2021-05-20   536      0        543      market_summary:543                       CSV_MISMATCH
2021-05-21   555      0        562      market_summary:562                       CSV_MISMATCH
2021-05-24   626      0        634      market_summary:634                       CSV_MISMATCH
2021-05-25   637      0        645      market_summary:645                       CSV_MISMATCH
2021-05-26   642      0        650      market_summary:650                       CSV_MISMATCH
2021-05-27   651      0        659      market_summary:659                       CSV_MISMATCH
2021-05-28   633      0        641      market_summary:641                       CSV_MISMATCH
2021-05-31   577      0        585      market_summary:585                       CSV_MISMATCH
2021-06-01   569      0        577      market_summary:577                       CSV_MISMATCH
2021-06-02   575      0        583      market_summary:583                       CSV_MISMATCH
2021-06-03   576      0        584      market_summary:584                       CSV_MISMATCH
2021-06-04   572      0        580      market_summary:580                       CSV_MISMATCH
2021-06-07   578      0        587      market_summary:587                       CSV_MISMATCH
2021-06-08   571      0        580      market_summary:580                       CSV_MISMATCH
2021-06-09   567      0        574      market_summary:574                       CSV_MISMATCH
2021-06-10   566      0        573      market_summary:573                       CSV_MISMATCH
2021-06-11   562      0        570      market_summary:570                       CSV_MISMATCH
2021-06-14   562      0        570      market_summary:570                       CSV_MISMATCH
2021-06-15   554      0        563      market_summary:563                       CSV_MISMATCH
2021-06-16   565      0        573      market_summary:573                       CSV_MISMATCH
2021-06-17   562      0        570      market_summary:570                       CSV_MISMATCH
2021-06-18   554      0        561      market_summary:561                       CSV_MISMATCH
2021-06-21   627      0        635      market_summary:635                       CSV_MISMATCH
2021-06-22   635      0        642      market_summary:642                       CSV_MISMATCH
2021-06-23   635      0        642      market_summary:642                       CSV_MISMATCH
2021-06-24   636      0        644      market_summary:644                       CSV_MISMATCH
2021-06-25   616      0        623      market_summary:623                       CSV_MISMATCH
2021-06-28   554      0        560      market_summary:560                       CSV_MISMATCH
2021-06-29   546      0        553      market_summary:553                       CSV_MISMATCH
2021-06-30   561      0        569      market_summary:569                       CSV_MISMATCH
2021-07-01   559      0        567      market_summary:567                       CSV_MISMATCH
2021-07-02   552      0        560      market_summary:560                       CSV_MISMATCH
2021-07-05   547      0        556      market_summary:556                       CSV_MISMATCH
2021-07-06   549      0        556      market_summary:556                       CSV_MISMATCH
2021-07-07   548      0        555      market_summary:555                       CSV_MISMATCH
2021-07-08   565      0        573      market_summary:573                       CSV_MISMATCH
2021-07-09   542      0        550      market_summary:550                       CSV_MISMATCH
2021-07-12   549      0        557      market_summary:557                       CSV_MISMATCH
2021-07-13   551      0        559      market_summary:559                       CSV_MISMATCH
2021-07-14   573      0        581      market_summary:581                       CSV_MISMATCH
2021-07-15   561      0        569      market_summary:569                       CSV_MISMATCH
2021-07-16   549      0        557      market_summary:557                       CSV_MISMATCH
2021-07-19   552      0        559      market_summary:559                       CSV_MISMATCH
2021-07-23   554      0        562      market_summary:562                       CSV_MISMATCH
2021-07-26   829      0        838      market_summary:838                       CSV_MISMATCH
2021-07-27   825      0        832      market_summary:832                       CSV_MISMATCH
2021-07-28   826      0        833      market_summary:833                       CSV_MISMATCH
2021-07-29   799      0        805      market_summary:805                       CSV_MISMATCH
2021-07-30   800      0        807      market_summary:807                       CSV_MISMATCH
2021-08-02   803      0        809      market_summary:809                       CSV_MISMATCH
2021-08-03   799      0        805      market_summary:805                       CSV_MISMATCH
2021-08-04   811      0        817      market_summary:817                       CSV_MISMATCH
2021-08-05   811      0        819      market_summary:819                       CSV_MISMATCH
2021-08-06   791      0        800      market_summary:800                       CSV_MISMATCH
2021-08-09   787      0        794      market_summary:794                       CSV_MISMATCH
2021-08-10   794      0        801      market_summary:801                       CSV_MISMATCH
2021-08-11   790      0        797      market_summary:797                       CSV_MISMATCH
2021-08-12   777      0        785      market_summary:785                       CSV_MISMATCH
2021-08-13   771      0        779      market_summary:779                       CSV_MISMATCH
2021-08-16   792      0        800      market_summary:800                       CSV_MISMATCH
2021-08-17   783      0        790      market_summary:790                       CSV_MISMATCH
2021-08-20   786      0        794      market_summary:794                       CSV_MISMATCH
2021-08-23   813      0        821      market_summary:821                       CSV_MISMATCH
2021-08-24   802      0        809      market_summary:809                       CSV_MISMATCH
2021-08-25   798      0        806      market_summary:806                       CSV_MISMATCH
2021-08-26   802      0        810      market_summary:810                       CSV_MISMATCH
2021-08-27   788      0        795      market_summary:795                       CSV_MISMATCH
2021-08-30   959      0        967      market_summary:967                       CSV_MISMATCH
2021-08-31   868      0        876      market_summary:876                       CSV_MISMATCH
2021-09-01   878      0        886      market_summary:886                       CSV_MISMATCH
2021-09-02   875      0        882      market_summary:882                       CSV_MISMATCH
2021-09-03   870      0        877      market_summary:877                       CSV_MISMATCH
2021-09-06   844      0        851      market_summary:851                       CSV_MISMATCH
2021-09-07   843      0        850      market_summary:850                       CSV_MISMATCH
2021-09-08   847      0        855      market_summary:855                       CSV_MISMATCH
2021-09-09   849      0        857      market_summary:857                       CSV_MISMATCH
2021-09-10   852      0        860      market_summary:860                       CSV_MISMATCH
2021-09-13   837      0        845      market_summary:845                       CSV_MISMATCH
2021-09-14   844      0        852      market_summary:852                       CSV_MISMATCH
2021-09-15   838      0        846      market_summary:846                       CSV_MISMATCH
2021-09-16   838      0        845      market_summary:845                       CSV_MISMATCH
2021-09-17   846      0        854      market_summary:854                       CSV_MISMATCH
2021-09-20   832      0        838      market_summary:838                       CSV_MISMATCH
2021-09-21   840      0        847      market_summary:847                       CSV_MISMATCH
2021-09-22   846      0        854      market_summary:854                       CSV_MISMATCH
2021-09-23   836      0        843      market_summary:843                       CSV_MISMATCH
2021-09-24   835      0        843      market_summary:843                       CSV_MISMATCH
2021-09-27   915      0        923      market_summary:923                       CSV_MISMATCH
2021-09-28   924      0        931      market_summary:931                       CSV_MISMATCH
2021-09-29   927      0        935      market_summary:935                       CSV_MISMATCH
2021-09-30   925      0        933      market_summary:933                       CSV_MISMATCH
2021-10-01   929      0        936      market_summary:936                       CSV_MISMATCH
2021-10-04   879      0        887      market_summary:887                       CSV_MISMATCH
2021-10-05   899      0        907      market_summary:907                       CSV_MISMATCH
2021-10-06   887      0        895      market_summary:895                       CSV_MISMATCH
2021-10-07   891      0        898      market_summary:898                       CSV_MISMATCH
2021-10-08   883      0        891      market_summary:891                       CSV_MISMATCH
2021-10-11   901      0        909      market_summary:909                       CSV_MISMATCH
2021-10-12   890      0        898      market_summary:898                       CSV_MISMATCH
2021-10-13   896      0        904      market_summary:904                       CSV_MISMATCH
2021-10-14   889      0        897      market_summary:897                       CSV_MISMATCH
2021-10-15   876      0        883      market_summary:883                       CSV_MISMATCH
2021-10-18   864      0        871      market_summary:871                       CSV_MISMATCH
2021-10-20   900      0        907      market_summary:907                       CSV_MISMATCH
2021-10-21   891      0        898      market_summary:898                       CSV_MISMATCH
2021-10-22   878      0        885      market_summary:885                       CSV_MISMATCH
2021-10-25   887      0        897      market_summary:897                       CSV_MISMATCH
2021-10-26   822      0        829      market_summary:829                       CSV_MISMATCH
2021-10-27   606      0        613      market_summary:613                       CSV_MISMATCH
2021-10-28   820      0        827      market_summary:827                       CSV_MISMATCH
2021-10-29   819      0        828      market_summary:828                       CSV_MISMATCH
2021-11-01   645      0        653      market_summary:653                       CSV_MISMATCH
2021-11-02   632      0        640      market_summary:640                       CSV_MISMATCH
2021-11-03   639      0        646      market_summary:646                       CSV_MISMATCH
2021-11-04   644      0        652      market_summary:652                       CSV_MISMATCH
2021-11-05   632      0        639      market_summary:639                       CSV_MISMATCH
2021-11-08   654      0        661      market_summary:661                       CSV_MISMATCH
2021-11-09   644      0        651      market_summary:651                       CSV_MISMATCH
2021-11-10   627      0        634      market_summary:634                       CSV_MISMATCH
2021-11-11   637      0        644      market_summary:644                       CSV_MISMATCH
2021-11-12   630      0        638      market_summary:638                       CSV_MISMATCH
2021-11-15   631      0        639      market_summary:639                       CSV_MISMATCH
2021-11-16   638      0        645      market_summary:645                       CSV_MISMATCH
2021-11-17   632      0        639      market_summary:639                       CSV_MISMATCH
2021-11-18   627      0        634      market_summary:634                       CSV_MISMATCH
2021-11-19   641      0        648      market_summary:648                       CSV_MISMATCH
2021-11-22   629      0        636      market_summary:636                       CSV_MISMATCH
2021-11-23   645      0        652      market_summary:652                       CSV_MISMATCH
2021-11-24   629      0        636      market_summary:636                       CSV_MISMATCH
2021-11-25   616      0        624      market_summary:624                       CSV_MISMATCH
2021-11-26   626      0        632      market_summary:632                       CSV_MISMATCH
2021-11-29   631      0        638      market_summary:638                       CSV_MISMATCH
2021-11-30   617      0        624      market_summary:624                       CSV_MISMATCH
2021-12-01   609      0        616      market_summary:616                       CSV_MISMATCH
2021-12-02   638      0        644      market_summary:644                       CSV_MISMATCH
2021-12-03   604      0        611      market_summary:611                       CSV_MISMATCH
2021-12-06   587      0        594      market_summary:594                       CSV_MISMATCH
2021-12-07   619      0        626      market_summary:626                       CSV_MISMATCH
2021-12-08   622      0        628      market_summary:628                       CSV_MISMATCH
2021-12-09   604      0        611      market_summary:611                       CSV_MISMATCH
2021-12-10   595      0        602      market_summary:602                       CSV_MISMATCH
2021-12-13   602      0        609      market_summary:609                       CSV_MISMATCH
2021-12-14   595      0        602      market_summary:602                       CSV_MISMATCH
2021-12-15   646      0        654      market_summary:654                       CSV_MISMATCH
2021-12-16   617      0        624      market_summary:624                       CSV_MISMATCH
2021-12-17   598      0        605      market_summary:605                       CSV_MISMATCH
2021-12-20   615      0        623      market_summary:623                       CSV_MISMATCH
2021-12-21   618      0        625      market_summary:625                       CSV_MISMATCH
2021-12-22   612      0        618      market_summary:618                       CSV_MISMATCH
2021-12-23   628      0        635      market_summary:635                       CSV_MISMATCH
2021-12-24   626      0        633      market_summary:633                       CSV_MISMATCH
2021-12-27   615      0        621      market_summary:621                       CSV_MISMATCH
2021-12-28   629      0        635      market_summary:635                       CSV_MISMATCH
2021-12-29   633      0        640      market_summary:640                       CSV_MISMATCH
2021-12-30   646      0        652      market_summary:652                       CSV_MISMATCH
2021-12-31   631      0        636      market_summary:636                       CSV_MISMATCH
2022-01-03   615      0        622      market_summary:622                       CSV_MISMATCH
2022-01-04   629      0        636      market_summary:636                       CSV_MISMATCH
2022-01-05   616      0        622      market_summary:622                       CSV_MISMATCH
2022-01-06   617      0        623      market_summary:623                       CSV_MISMATCH
2022-01-07   607      0        614      market_summary:614                       CSV_MISMATCH
2022-01-10   636      0        643      market_summary:643                       CSV_MISMATCH
2022-01-11   617      0        624      market_summary:624                       CSV_MISMATCH
2022-01-12   631      0        637      market_summary:637                       CSV_MISMATCH
2022-01-13   607      0        613      market_summary:613                       CSV_MISMATCH
2022-01-14   604      0        609      market_summary:609                       CSV_MISMATCH
2022-01-17   590      0        597      market_summary:597                       CSV_MISMATCH
2022-01-18   604      0        610      market_summary:610                       CSV_MISMATCH
2022-01-19   615      0        622      market_summary:622                       CSV_MISMATCH
