======================================================================
EOD_OHLCV Data Verification Report
Generated: 2026-02-01 18:14:53
======================================================================

Total dates in DB:    1259
Total CSV files:      915
Total rows in DB:     670,873
Total rows in CSVs:   614,501

----------------------------------------------------------------------
Date            DB Rows   CSV Rows     Diff Status    
----------------------------------------------------------------------
2021-01-01          533        533        0 MATCH     
2021-01-04          537        537        0 MATCH     
2021-01-05          536        536        0 MATCH     
2021-01-06          545        545        0 MATCH     
2021-01-07          535        535        0 MATCH     
2021-01-08          544        544        0 MATCH     
2021-01-11          543        543        0 MATCH     
2021-01-12          543        543        0 MATCH     
2021-01-13          566        566        0 MATCH     
2021-01-14          566        566        0 MATCH     
2021-01-15          542        542        0 MATCH     
2021-01-18          556        556        0 MATCH     
2021-01-19          555        555        0 MATCH     
2021-01-20          542        542        0 MATCH     
2021-01-21          547        547        0 MATCH     
2021-01-22          527        520       +7 DB_MORE   
2021-01-25          609        601       +8 DB_MORE   
2021-01-26          608        600       +8 DB_MORE   
2021-01-27          616        608       +8 DB_MORE   
2021-01-28          600        592       +8 DB_MORE   
2021-01-29          620        612       +8 DB_MORE   
2021-02-01          561        553       +8 DB_MORE   
2021-02-02          560        552       +8 DB_MORE   
2021-02-03          568        561       +7 DB_MORE   
2021-02-04          563        555       +8 DB_MORE   
2021-02-08          550        542       +8 DB_MORE   
2021-02-09          112          -     +112 DB_ONLY   
2021-02-10          542        534       +8 DB_MORE   
2021-02-11          546        538       +8 DB_MORE   
2021-02-12          536        528       +8 DB_MORE   
2021-02-15          536        528       +8 DB_MORE   
2021-02-16          549        541       +8 DB_MORE   
2021-02-17          549        542       +7 DB_MORE   
2021-02-18          543        536       +7 DB_MORE   
2021-02-19          549        541       +8 DB_MORE   
2021-02-22          617        609       +8 DB_MORE   
2021-02-23          620        612       +8 DB_MORE   
2021-02-24          622        615       +7 DB_MORE   
2021-02-25          617        610       +7 DB_MORE   
2021-02-26          618        611       +7 DB_MORE   
2021-03-01          564        556       +8 DB_MORE   
2021-03-02          561        553       +8 DB_MORE   
2021-03-03          550        544       +6 DB_MORE   
2021-03-04          555        548       +7 DB_MORE   
2021-03-05          551        545       +6 DB_MORE   
2021-03-08          549        542       +7 DB_MORE   
2021-03-09          562        556       +6 DB_MORE   
2021-03-10          541        534       +7 DB_MORE   
2021-03-11          554        546       +8 DB_MORE   
2021-03-12          559        551       +8 DB_MORE   
2021-03-15          545        538       +7 DB_MORE   
2021-03-16          547        540       +7 DB_MORE   
2021-03-17          557        550       +7 DB_MORE   
2021-03-18          548        542       +6 DB_MORE   
2021-03-19          530        524       +6 DB_MORE   
2021-03-22          617        610       +7 DB_MORE   
2021-03-24          612        605       +7 DB_MORE   
2021-03-25          607        600       +7 DB_MORE   
2021-03-26          604        597       +7 DB_MORE   
2021-03-29          558        551       +7 DB_MORE   
2021-03-30          538        532       +6 DB_MORE   
2021-03-31          554        547       +7 DB_MORE   
2021-04-01          541        534       +7 DB_MORE   
2021-04-02          530        523       +7 DB_MORE   
2021-04-05          540        533       +7 DB_MORE   
2021-04-06          543        536       +7 DB_MORE   
2021-04-07          543        535       +8 DB_MORE   
2021-04-08          537        530       +7 DB_MORE   
2021-04-09          550        543       +7 DB_MORE   
2021-04-12          533        526       +7 DB_MORE   
2021-04-13          544        537       +7 DB_MORE   
