date,symbol,sector_code,company_name,open,high,low,close,volume,prev_close
2021-01-21,786,0813,786 Invest Ltd,12.0,12.14,11.51,11.96,8500,11.95
2021-01-21,AABS,0826,AL-Abbas SugarXD,348.01,348.01,348.0,348.0,600,349.0
2021-01-21,ABL,0807,Allied Bank Ltd,87.95,87.95,86.5,86.88,109500,86.79
2021-01-21,ABOT,0823,Abbott Lab.,715.95,725.0,715.95,724.61,11350,717.38
2021-01-21,ACPL,0804,Attock Cement,153.5,154.97,153.0,153.79,20200,153.76
2021-01-21,ADAMS,0826,Adam Sugar,24.9,25.7,24.9,25.7,10500,24.0
2021-01-21,ADMM,0829,Artistic Denim,129.71,132.88,128.63,129.8,46000,129.71
2021-01-21,ADOS,0808,Ados Pakistan,25.11,25.11,25.0,25.04,1500,26.49
2021-01-21,AEL,0824,Arshad Energy,10.51,11.44,10.51,11.41,6000,11.24
2021-01-21,AGHA,0808,Agha Steel Ind.,36.21,36.75,36.0,36.56,1795000,36.17
2021-01-21,AGIC,0812,Ask.Gen.Insur.,25.5,25.5,25.5,25.5,2000,25.5
2021-01-21,AGIL,0802,Agriautos Ind.,232.0,240.0,232.0,237.0,3200,242.0
2021-01-21,AGL,0805,Agritech Limited,5.0,5.14,5.0,5.05,493000,5.03
2021-01-21,AGP,0823,AGP Limited,114.13,115.5,113.58,114.99,113000,114.13
2021-01-21,AGSML,0826,Abdullah Shah,6.23,6.5,6.23,6.31,17000,6.23
2021-01-21,AGTL,0801,AL-Ghazi Tractors,374.5,374.5,369.1,371.0,5500,373.0
2021-01-21,AHCL,0809,Arif Habib Corp,41.0,41.15,40.4,40.49,28500,41.5
2021-01-21,AHL,0813,Arif Habib Ltd.,70.5,71.95,70.0,70.02,23000,70.84
2021-01-21,AHTM,0829,Ahmed Hassan,45.54,45.54,45.54,45.54,500,48.94
2021-01-21,AICL,0812,Adamjee Ins.,44.0,46.24,43.75,45.03,2150500,43.59
2021-01-21,AICL-JAN,40,AICL-JAN,45.0,46.0,45.0,45.44,4500,43.82
2021-01-21,AKBL,0807,Askari Bank,23.49,23.5,23.21,23.32,133500,23.34
